Sex_1,Sex_2,Sex_3,Length,Diameter,Height,Whole,Viscera,Shellweight,Shucked_Categoria,Rings
1.0,0.0,0.0,0.5671641791044776,0.5688073394495413,0.3695652173913044,0.18133522224189835,0.18593894542090655,0.14798206278026907,0.3333333333333333,15
1.0,0.0,0.0,0.4104477611940298,0.3853211009174313,0.34782608695652173,0.07915707455285993,0.08880666049953745,0.06826108619830595,0.3333333333333333,7
0.0,1.0,0.0,0.6791044776119403,0.6697247706422019,0.5434782608695654,0.23906499026031522,0.26086956521739124,0.20777279521674144,0.3333333333333333,9
1.0,0.0,0.0,0.544776119402985,0.5688073394495413,0.5000000000000001,0.18204356295378077,0.20999074930619796,0.15296462381664178,0.3333333333333333,10
0.0,0.0,1.0,0.3805970149253731,0.36697247706422026,0.30434782608695654,0.07189658225606516,0.07215541165587418,0.05331340308918785,0.3333333333333333,7
0.0,0.0,1.0,0.5223880597014925,0.44954128440366975,0.3695652173913044,0.12378253940145209,0.14246068455134134,0.1180866965620329,0.3333333333333333,8
0.0,1.0,0.0,0.6791044776119403,0.6605504587155964,0.6086956521739132,0.2746591110324066,0.26086956521739124,0.32735426008968616,0.3333333333333333,20
1.0,0.0,0.0,0.5970149253731343,0.5779816513761469,0.5000000000000001,0.1797414556401629,0.2072155411655874,0.1629297458893872,0.3333333333333333,9
0.0,1.0,0.0,0.7089552238805971,0.706422018348624,0.6086956521739132,0.31609704267752786,0.27844588344125804,0.31738913801694074,0.3333333333333333,19
0.0,1.0,0.0,0.6716417910447761,0.5963302752293579,0.565217391304348,0.2140959801664601,0.2719703977798334,0.20777279521674144,0.3333333333333333,14
1.0,0.0,0.0,0.5298507462686567,0.5412844036697247,0.4347826086956522,0.14308482380024792,0.14893617021276595,0.133034379671151,0.3333333333333333,10
1.0,0.0,0.0,0.6194029850746268,0.5963302752293579,0.5434782608695654,0.19107490703028154,0.17483811285846437,0.18784255107125067,0.3333333333333333,11
0.0,1.0,0.0,0.6865671641791045,0.6422018348623855,0.5869565217391305,0.24172126792987425,0.3154486586493987,0.20279023418036873,0.3333333333333333,10
1.0,0.0,0.0,0.6343283582089552,0.6330275229357799,0.5217391304347827,0.2346378608110501,0.24514338575393155,0.2376681614349776,0.3333333333333333,12
0.0,0.0,1.0,0.417910447761194,0.41284403669724784,0.3260869565217392,0.10217814768903842,0.07215541165587418,0.11310413552566022,0.3333333333333333,7
0.0,1.0,0.0,0.544776119402985,0.5229357798165138,0.39130434782608703,0.15902248981760228,0.1600370027752081,0.1280518186347783,0.3333333333333333,10
1.0,0.0,0.0,0.4328358208955223,0.4403669724770643,0.30434782608695654,0.08978218523109616,0.07863089731729878,0.09815645241654213,0.3333333333333333,7
1.0,0.0,0.0,0.5597014925373134,0.4862385321100919,0.39130434782608703,0.13423056490171772,0.13783533765032377,0.11310413552566022,0.3333333333333333,9
1.0,0.0,0.0,0.417910447761194,0.41284403669724784,0.3695652173913044,0.08624048167168408,0.11378353376503235,0.07324364723467863,0.3333333333333333,11
0.0,0.0,1.0,0.4552238805970149,0.4036697247706423,0.39130434782608703,0.07915707455285993,0.08973172987974097,0.08320876930742405,0.3333333333333333,10
0.0,1.0,0.0,0.7313432835820894,0.706422018348624,0.6304347826086958,0.3320347086948822,0.39500462534690095,0.2675635276532138,0.3333333333333333,12
0.0,1.0,0.0,0.7089552238805971,0.6605504587155964,0.5434782608695654,0.2697007260492297,0.38760407030527283,0.19780767314399605,0.3333333333333333,9
